date;weekly average date -6 months;weekly average date -5 months;weekly average date -4 months;weekly average date -3 months;weekly average date -2 months;weekly average date -1 months;;6 months average;;Balance
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;1759765
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;1752993
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;1737222
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;1707464
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;1681359
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;1668609
2016-10-29;-5753;-6144;-8333;-4030;-6199;-5318;;-5963;;1659666
2016-10-30;-7193;-7416;-8619;-3936;-4715;-7250;;-6521;;1653145
2016-11-01;-5914;-7011;-5105;-4485;-5715;-7542;;-5962;;1647183
2016-11-02;-5893;-7011;-5021;-5196;-5913;-6487;;-5920;;1790526
2016-11-03;-5475;-8152;-3001;-5196;-7057;-5977;;-5810;;1772716
2016-11-04;-5475;-7658;-2978;-5196;-5214;-8292;;-5802;;1750434
2016-11-05;-5381;-7492;-3560;-8254;-3205;-8132;;-6004;;1740430
2016-11-06;-4873;-8190;-3275;-8560;-3670;-8132;;-6117;;1730193
2016-11-07;-3042;-7646;-2989;-7764;-3384;-6799;;-5271;;1724922
2016-11-08;-3737;-7646;-5589;-8295;-2670;-5698;;-5606;;1719316
2016-11-09;-3378;-7646;-5829;-8263;-4630;-6013;;-5960;;1624268
2016-11-10;-3286;-7548;-6794;-8263;-4555;-6147;;-6099;;1932201
2016-11-11;-3286;-7250;-6063;-8263;-5703;-3978;;-5757;;1903314
2016-11-12;-3286;-7799;-6802;-4590;-6557;-4348;;-5564;;1893750
2016-11-13;-1109;-6423;-6802;-4984;-6599;-4348;;-5044;;1882262
2016-11-14;-4113;-6592;-6802;-5189;-6670;-4519;;-5647;;1876615
2016-11-15;-5910;-6592;-5637;-6089;-6670;-7838;;-6456;;1870159
2016-11-16;-6463;-6592;-6013;-5007;-5809;-8793;;-6446;;1833173
2016-11-17;-6833;-3500;-6063;-5007;-6648;-9119;;-6195;;1826978
2016-10-18;-6611;-6833;-3948;-7485;-5007;-6247;;-6022;;1845976
2016-10-19;-5813;-6833;-4174;-5896;-8757;-6825;;-6383;;1828593
2016-10-20;-5813;-9156;-3248;-8181;-8493;-8682;;-7262;;1830171
2016-10-21;-5813;-6542;-4691;-8181;-8501;-8610;;-7056;;1823115
2016-10-22;-6777;-5732;-4691;-9285;-7268;-8467;;-7037;;1816078
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;1806747
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;1787975
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;1772204
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;1742446
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;1729941
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;1723591
2016-10-29;-5753;-6144;-8333;-4030;-6199;-5318;;-5963;;1717628
2016-10-30;-7193;-7416;-8619;-3936;-4715;-7250;;-6521;;1707623
2016-10-31;-7193;-7011;-8619;-4763;-5001;-7250;;-6639;;1670984
